pr_number,title_length,body_length,title_word_count,body_word_count,is_draft,commits_24h,commit_authors_24h,files_changed_24h,additions_24h,deletions_24h,total_changes_24h,changes_per_commit_24h,files_per_commit_24h,deletion_ratio_24h,has_commit_activity_24h,has_file_activity_24h,change_risk_label
325417,57,2066,10,278,False,1.0,1.0,7.0,202.0,53.0,255.0,255.0,7.0,0.2078431372549019,1,1,0
325422,47,766,6,85,False,1.0,1.0,2.0,21.0,12.0,33.0,33.0,2.0,0.3636363636363636,1,1,1
325423,64,2415,10,249,False,1.0,1.0,1.0,3.0,0.0,3.0,3.0,1.0,0.0,1,1,0
325428,29,535,3,49,False,5.0,1.0,5.0,12.0,4.0,16.0,3.2,1.0,0.25,1,1,0
325437,72,2088,11,295,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1
325441,40,4314,5,673,False,1.0,1.0,3.0,95.0,48.0,143.0,143.0,3.0,0.3356643356643357,1,1,1
325442,87,1204,10,166,False,1.0,1.0,1.0,16.0,0.0,16.0,16.0,1.0,0.0,1,1,0
325443,72,1499,9,182,False,1.0,1.0,2.0,75.0,15.0,90.0,90.0,2.0,0.1666666666666666,1,1,0
325444,48,14,8,2,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
325445,65,917,10,124,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1
325454,36,56,5,8,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
325457,34,772,5,91,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
325458,72,1191,10,178,False,1.0,1.0,5.0,125.0,93.0,218.0,218.0,5.0,0.4266055045871559,1,1,0
325460,52,1611,6,217,False,1.0,1.0,7.0,305.0,94.0,399.0,399.0,7.0,0.2355889724310776,1,1,1
325463,87,550,11,66,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
325464,74,483,9,64,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
325468,48,873,8,103,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
325472,87,2767,11,403,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
325477,79,700,12,65,False,4.0,2.0,87.0,2394.0,576.0,2970.0,742.5,21.75,0.1939393939393939,1,1,0
325478,94,399,11,51,False,3.0,1.0,95.0,2526.0,594.0,3120.0,1040.0,31.666666666666668,0.1903846153846153,1,1,0
325492,43,55,6,2,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
325503,67,343,10,49,False,2.0,1.0,2.0,2.0,2.0,4.0,2.0,1.0,0.5,1,1,1
325505,35,343,3,49,False,1.0,1.0,57.0,961.0,415.0,1376.0,1376.0,57.0,0.3015988372093023,1,1,1
325509,49,299,7,42,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
325511,52,140,6,23,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
325513,53,0,9,0,False,1.0,1.0,85.0,2151.0,1114.0,3265.0,3265.0,85.0,0.3411944869831547,1,1,0
325514,30,266,4,22,True,3.0,1.0,4.0,56.0,8.0,64.0,21.33333333333333,1.3333333333333333,0.125,1,1,0
325515,33,398,4,55,False,2.0,1.0,3.0,32.0,9.0,41.0,20.5,1.5,0.2195121951219512,1,1,0
325521,97,1168,11,153,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
325525,44,885,7,123,False,6.0,1.0,309.0,17638.0,5289.0,22927.0,3821.1666666666665,51.5,0.2306887076372835,1,1,1
325528,41,486,5,61,False,1.0,1.0,3.0,81.0,11.0,92.0,92.0,3.0,0.1195652173913043,1,1,0
325532,42,481,6,38,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
325536,72,419,11,61,False,3.0,1.0,3.0,179.0,22.0,201.0,67.0,1.0,0.1094527363184079,1,1,0
325538,63,963,11,122,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
325541,33,55,6,2,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
325543,23,322,4,27,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
325544,45,281,6,19,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
325547,30,1240,5,149,False,11.0,2.0,204.0,7568.0,4235.0,11803.0,1073.0,18.545454545454547,0.3588070829450139,1,1,1
325548,53,950,8,95,False,1.0,1.0,61.0,1178.0,323.0,1501.0,1501.0,61.0,0.2151898734177215,1,1,0
325553,80,1741,11,277,False,1.0,1.0,3.0,10.0,40.0,50.0,50.0,3.0,0.8,1,1,0
325563,47,0,8,0,False,2.0,1.0,24.0,162.0,700.0,862.0,431.0,12.0,0.8120649651972158,1,1,0
325573,51,293,7,45,False,1.0,1.0,300.0,26051.0,13154.0,39205.0,39205.0,300.0,0.3355184287718403,1,1,1
325575,50,2129,8,213,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
325578,47,786,7,106,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1
325580,16,0,2,0,False,1.0,1.0,4.0,98.0,14.0,112.0,112.0,4.0,0.125,1,1,0
325581,60,1445,9,180,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
325582,55,68,7,3,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
325584,64,2175,9,218,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
325585,68,898,12,125,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
325591,50,640,8,91,False,1.0,1.0,1.0,4.0,1.0,5.0,5.0,1.0,0.2,1,1,0
325593,55,1970,9,254,False,3.0,1.0,8.0,161.0,51.0,212.0,70.66666666666667,2.6666666666666665,0.240566037735849,1,1,0
325594,76,3172,11,418,False,1.0,1.0,1.0,11.0,8.0,19.0,19.0,1.0,0.4210526315789473,1,1,0
325596,49,2947,7,236,False,2.0,1.0,189.0,7208.0,4013.0,11221.0,5610.5,94.5,0.357633009535692,1,1,1
325597,60,1520,9,197,False,1.0,1.0,2.0,107.0,31.0,138.0,138.0,2.0,0.2246376811594203,1,1,0
325599,66,809,11,104,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
325609,74,2018,12,313,False,1.0,1.0,2.0,59.0,36.0,95.0,95.0,2.0,0.3789473684210526,1,1,0
325613,37,1579,6,204,False,3.0,1.0,2.0,222.0,40.0,262.0,87.33333333333333,0.6666666666666666,0.1526717557251908,1,1,0
325614,36,63,7,1,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
325615,38,343,4,49,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
325622,37,0,7,0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
325624,90,3218,12,423,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
325625,48,343,9,49,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
325626,51,35,8,5,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
325628,56,238,8,27,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
325629,67,944,10,141,False,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1,1,0
325632,60,1011,9,159,False,1.0,1.0,1.0,1.0,3.0,4.0,4.0,1.0,0.75,1,1,0
325636,85,211,12,7,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
325637,75,1082,10,125,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
325638,75,1174,10,131,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
325639,66,2456,10,343,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
325640,68,2961,10,388,False,1.0,1.0,58.0,889.0,937.0,1826.0,1826.0,58.0,0.5131434830230011,1,1,0
325641,51,0,10,0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
325646,80,6062,11,664,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
325649,73,6689,11,751,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
325654,58,650,7,89,False,1.0,1.0,1.0,5.0,2.0,7.0,7.0,1.0,0.2857142857142857,1,1,1
325659,63,838,8,128,False,2.0,1.0,35.0,1602.0,164.0,1766.0,883.0,17.5,0.0928652321630804,1,1,0
325674,53,37,9,5,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
325676,50,945,7,85,False,1.0,1.0,4.0,144.0,2.0,146.0,146.0,4.0,0.0136986301369863,1,1,0
325678,26,91,6,2,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
325679,58,2751,8,334,False,3.0,1.0,91.0,4944.0,2505.0,7449.0,2483.0,30.33333333333333,0.3362867498993153,1,1,1
325680,69,908,12,151,False,1.0,1.0,1.0,38.0,11.0,49.0,49.0,1.0,0.2244897959183673,1,1,0
325681,60,1234,8,178,False,2.0,1.0,45.0,2083.0,302.0,2385.0,1192.5,22.5,0.1266247379454926,1,1,0
325682,64,3922,7,472,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
