embedding_dimension,coefficient,absolute_coefficient
285,-0.11896691162312355,0.11896691162312355
222,0.11749051762402263,0.11749051762402263
374,0.11666177085732372,0.11666177085732372
3,0.11171508809763127,0.11171508809763127
57,-0.11170434853534597,0.11170434853534597
358,-0.1107368365440375,0.1107368365440375
80,-0.11057611049179412,0.11057611049179412
7,0.10648171287276069,0.10648171287276069
372,-0.10537907393712809,0.10537907393712809
376,-0.10524517413493886,0.10524517413493886
204,-0.10428012719839594,0.10428012719839594
300,-0.0972027027631773,0.0972027027631773
147,0.09714793429289342,0.09714793429289342
179,-0.09659116300445267,0.09659116300445267
313,-0.09588784491492768,0.09588784491492768
175,-0.09577955606136337,0.09577955606136337
137,0.09566806826265385,0.09566806826265385
48,-0.09249076627948953,0.09249076627948953
26,0.08992349039734099,0.08992349039734099
201,0.08895897176790221,0.08895897176790221
212,-0.08773820964528559,0.08773820964528559
14,-0.08715278208810956,0.08715278208810956
37,0.0812196138097492,0.0812196138097492
209,0.07912019116892664,0.07912019116892664
70,0.07899427674946383,0.07899427674946383
99,0.0768591737483508,0.0768591737483508
301,0.0742375113350789,0.0742375113350789
161,-0.06487786721913513,0.06487786721913513
103,-0.06158126974541384,0.06158126974541384
309,-0.057300705797614274,0.057300705797614274
192,-0.04256670924604501,0.04256670924604501
155,0.0414503128819916,0.0414503128819916
215,-0.040838802567892615,0.040838802567892615
299,0.0388532817929465,0.0388532817929465
232,0.03850405642249861,0.03850405642249861
15,0.036949684968671896,0.036949684968671896
22,-0.030841265803507555,0.030841265803507555
164,0.029769732957788207,0.029769732957788207
268,0.029206838919522728,0.029206838919522728
180,-0.02788375203987147,0.02788375203987147
88,0.02320273100007454,0.02320273100007454
326,-0.022664543803169023,0.022664543803169023
281,0.020025750997966347,0.020025750997966347
148,0.01785147599172562,0.01785147599172562
247,-0.015559054639784003,0.015559054639784003
105,-0.015002330557490383,0.015002330557490383
189,0.013786594432125512,0.013786594432125512
195,-0.010379006766546711,0.010379006766546711
337,-0.007880883284253284,0.007880883284253284
206,-0.005085036344609757,0.005085036344609757
61,-0.0024010163466508076,0.0024010163466508076
320,-5.022526617485936e-07,5.022526617485936e-07
224,-8.518037090063771e-32,8.518037090063771e-32
128,8.458343049475242e-32,8.458343049475242e-32
