pr_number,commits_count,commit_authors,files_changed,additions,deletions,total_changes,max_file_changes,avg_file_changes,files_added,files_modified,files_removed,files_renamed,deletion_ratio,changes_per_commit,files_per_commit,developers_involved
327445,5,1,36.0,720.0,76.0,796.0,129.0,20.41025641025641,4.0,35.0,0.0,0.0,0.09547738693467336,159.2,7.2,1
327448,2,1,2.0,39.0,0.0,39.0,32.0,19.5,0.0,2.0,0.0,0.0,0.0,19.5,1.0,1
327450,3,1,3.0,69.0,28.0,97.0,35.0,24.25,0.0,4.0,0.0,0.0,0.28865979381443296,32.333333333333336,1.0,1
327451,2,1,3.0,86.0,19.0,105.0,40.0,21.0,0.0,5.0,0.0,0.0,0.18095238095238095,52.5,1.5,1
327464,1,1,6.0,111.0,111.0,222.0,72.0,37.0,0.0,6.0,0.0,0.0,0.5,222.0,6.0,1
327465,2,1,21.0,1640.0,190.0,1830.0,420.0,63.10344827586207,7.0,22.0,0.0,0.0,0.10382513661202186,915.0,10.5,1
327475,2,1,11.0,562.0,332.0,894.0,115.0,40.63636363636363,0.0,22.0,0.0,0.0,0.3713646532438479,447.0,5.5,1
327481,2,1,2.0,24.0,2.0,26.0,20.0,8.666666666666666,0.0,3.0,0.0,0.0,0.07692307692307693,13.0,1.0,1
327482,2,1,2.0,283.0,26.0,309.0,113.0,103.0,0.0,3.0,0.0,0.0,0.08414239482200647,154.5,1.0,1
327483,3,1,300.0,12900.0,1895.0,14795.0,905.0,48.50819672131148,46.0,258.0,0.0,1.0,0.128083812098682,4931.666666666667,100.0,1
327485,2,1,3.0,262.0,6.0,268.0,155.0,53.6,1.0,4.0,0.0,0.0,0.022388059701492536,134.0,1.5,1
327486,3,1,8.0,342.0,21.0,363.0,195.0,36.3,0.0,10.0,0.0,0.0,0.05785123966942149,121.0,2.6666666666666665,1
327489,6,1,32.0,1742.0,1220.0,2962.0,1389.0,65.82222222222222,4.0,29.0,8.0,4.0,0.41188386225523294,493.6666666666667,5.333333333333333,1
327490,5,1,248.0,9778.0,3527.0,13305.0,1389.0,47.014134275618375,23.0,246.0,10.0,4.0,0.26508831266441185,2661.0,49.6,1
327491,1,1,3.0,53.0,8.0,61.0,46.0,20.333333333333332,0.0,3.0,0.0,0.0,0.13114754098360656,61.0,3.0,1
327494,3,2,4.0,455.0,41.0,496.0,322.0,70.85714285714286,0.0,7.0,0.0,0.0,0.08266129032258064,165.33333333333334,1.3333333333333333,2
327495,3,1,3.0,35.0,10.0,45.0,31.0,9.0,1.0,4.0,0.0,0.0,0.2222222222222222,15.0,1.0,1
327497,6,1,316.0,18446.0,19436.0,37882.0,2700.0,119.50157728706624,50.0,204.0,62.0,1.0,0.5130668919275645,6313.666666666667,52.666666666666664,1
327500,1,1,4.0,87.0,3.0,90.0,73.0,22.5,0.0,4.0,0.0,0.0,0.03333333333333333,90.0,4.0,1
327511,3,1,3.0,69.0,35.0,104.0,57.0,26.0,0.0,4.0,0.0,0.0,0.33653846153846156,34.666666666666664,1.0,1
327518,4,2,322.0,19313.0,3104.0,22417.0,4674.0,68.97538461538461,41.0,282.0,2.0,0.0,0.1384663425079181,5604.25,80.5,2
327541,1,1,2.0,248.0,6.0,254.0,209.0,127.0,1.0,1.0,0.0,0.0,0.023622047244094488,254.0,2.0,1
327542,2,1,6.0,350.0,122.0,472.0,88.0,42.90909090909091,1.0,10.0,0.0,0.0,0.2584745762711864,236.0,3.0,1
327544,11,2,857.0,38474.0,39249.0,77723.0,2700.0,81.72765509989485,101.0,750.0,99.0,1.0,0.5049856541821597,7065.727272727273,77.9090909090909,2
327545,1,1,1.0,1.0,1.0,2.0,2.0,2.0,0.0,1.0,0.0,0.0,0.5,2.0,1.0,1
327547,2,1,1.0,2.0,1.0,3.0,2.0,1.5,0.0,2.0,0.0,0.0,0.3333333333333333,1.5,0.5,1
327548,2,1,13.0,159.0,937.0,1096.0,346.0,68.5,0.0,14.0,2.0,0.0,0.8549270072992701,548.0,6.5,1
327549,2,1,15.0,638.0,146.0,784.0,198.0,43.55555555555556,0.0,18.0,0.0,0.0,0.18622448979591838,392.0,7.5,1
327550,3,1,5.0,61.0,33.0,94.0,19.0,10.444444444444445,0.0,9.0,0.0,0.0,0.35106382978723405,31.333333333333332,1.6666666666666667,1
327552,1,1,2.0,8.0,5.0,13.0,11.0,6.5,0.0,2.0,0.0,0.0,0.38461538461538464,13.0,2.0,1
327553,1,1,2.0,56.0,0.0,56.0,49.0,28.0,0.0,2.0,0.0,0.0,0.0,56.0,2.0,1
327555,1,1,4.0,79.0,13.0,92.0,46.0,23.0,0.0,4.0,0.0,0.0,0.14130434782608695,92.0,4.0,1
327557,3,1,34.0,1198.0,1092.0,2290.0,360.0,60.26315789473684,2.0,34.0,2.0,0.0,0.47685589519650656,763.3333333333334,11.333333333333334,1
327560,2,1,8.0,285.0,138.0,423.0,237.0,38.45454545454545,1.0,10.0,0.0,0.0,0.3262411347517731,211.5,4.0,1
