file_name,unique_developers_per_file,single_contributor_flag
build/azure-pipelines/common/product-test-job.yml,1,1
build/azure-pipelines/common/publish-copilot-runtime.ts,1,1
build/azure-pipelines/common/publish-copilot-sdk.ts,1,1
build/azure-pipelines/common/publish-test-checkpoint.yml,1,1
build/azure-pipelines/common/publish.js,1,1
build/azure-pipelines/common/publish.ts,46,0
build/azure-pipelines/common/queue-copilot-product-build.ts,1,1
build/azure-pipelines/common/releaseBuild.js,1,1
build/azure-pipelines/common/releaseBuild.ts,4,0
build/azure-pipelines/common/resolve-copilot-build-overrides.ts,1,1
build/azure-pipelines/common/restore-test-checkpoints.yml,1,1
build/azure-pipelines/common/retry.js,1,1
build/azure-pipelines/common/retry.ts,29,0
build/azure-pipelines/common/run-test-with-checkpoint.yml,1,1
build/azure-pipelines/common/sanity-tests.yml,69,0
build/azure-pipelines/common/set-copilot-source-version.ts,1,1
build/azure-pipelines/common/setup-npm.yml,1,1
build/azure-pipelines/common/sign-win32.js,1,1
build/azure-pipelines/common/sign-win32.ts,2,0
build/azure-pipelines/common/sign.js,1,1
build/azure-pipelines/common/sign.ts,2,0
build/azure-pipelines/common/smokeTestAgentHost.ts,30,0
build/azure-pipelines/common/test-checkpoints.md,1,1
build/azure-pipelines/common/testCheckpoint.ts,1,1
build/azure-pipelines/common/validatePackageLocks.ts,50,0
build/azure-pipelines/common/verify-copilot-source-build.ts,1,1
build/azure-pipelines/common/verifyNodeModulesCache.ts,1,1
build/azure-pipelines/common/versionCompatibility.ts,2,0
build/azure-pipelines/common/wait-for-publish.yml,1,1
build/azure-pipelines/common/waitForArtifacts.js,1,1
build/azure-pipelines/common/waitForArtifacts.ts,31,0
build/azure-pipelines/copilot-product-build-versions.json,1,1
build/azure-pipelines/copilot-source-build.yml,1,1
build/azure-pipelines/copilot/build-steps.yml,32,0
build/azure-pipelines/copilot/download-runtime-artifact.yml,1,1
build/azure-pipelines/copilot/l10n-steps.yml,7,0
build/azure-pipelines/copilot/pull-test-cache.yml,44,0
build/azure-pipelines/copilot/runtime-source-build-job.yml,1,1
build/azure-pipelines/copilot/runtime-source-build.yml,1,1
build/azure-pipelines/copilot/setup-steps.yml,65,0
build/azure-pipelines/copilot/source-publish-runtime-job.yml,1,1
build/azure-pipelines/copilot/test-integration-steps.yml,53,0
build/azure-pipelines/copilot/test-steps.yml,3,0
build/azure-pipelines/darwin/codesign.js,1,1
build/azure-pipelines/darwin/codesign.ts,2,0
build/azure-pipelines/darwin/helper-entitlements.plist,2,0
build/azure-pipelines/darwin/product-build-darwin-ci.yml,52,0
build/azure-pipelines/darwin/product-build-darwin-cli-sign.yml,2,0
build/azure-pipelines/darwin/product-build-darwin-cli.yml,5,0
build/azure-pipelines/darwin/product-build-darwin-node-modules.yml,80,0
build/azure-pipelines/darwin/product-build-darwin-universal.yml,62,0
build/azure-pipelines/darwin/product-build-darwin.yml,51,0
build/azure-pipelines/darwin/product-smoke-flaky-darwin.yml,63,0
build/azure-pipelines/darwin/server-entitlements.plist,2,0
build/azure-pipelines/darwin/steps/product-build-darwin-cli-sign.yml,2,0
build/azure-pipelines/darwin/steps/product-build-darwin-compile.yml,107,0
build/azure-pipelines/darwin/steps/product-build-darwin-test.yml,73,0
build/azure-pipelines/darwin/steps/product-test-dependencies.yml,1,1
build/azure-pipelines/dependencies-check.yml,81,0
build/azure-pipelines/distro-build.yml,5,0
build/azure-pipelines/distro/download-distro.yml,41,0
build/azure-pipelines/distro/mixin-npm.js,1,1
build/azure-pipelines/distro/mixin-npm.ts,1,1
build/azure-pipelines/distro/mixin-quality.js,1,1
build/azure-pipelines/distro/mixin-quality.ts,4,0
build/azure-pipelines/github-check-run.js,2,0
build/azure-pipelines/linux/apt-retry.sh,2,0
build/azure-pipelines/linux/build-snap.sh,35,0
build/azure-pipelines/linux/codesign.js,1,1
build/azure-pipelines/linux/codesign.ts,1,1
build/azure-pipelines/linux/product-build-linux-ci.yml,8,0
build/azure-pipelines/linux/product-build-linux-cli.yml,6,0
build/azure-pipelines/linux/product-build-linux-node-modules.yml,80,0
build/azure-pipelines/linux/product-build-linux.yml,6,0
build/azure-pipelines/linux/product-smoke-flaky-linux.yml,69,0
build/azure-pipelines/linux/setup-env.sh,32,0
build/azure-pipelines/linux/steps/product-build-linux-compile.yml,106,0
build/azure-pipelines/linux/steps/product-build-linux-test-setup.yml,1,1
build/azure-pipelines/linux/steps/product-build-linux-test.yml,31,0
build/azure-pipelines/linux/steps/product-test-dependencies.yml,1,1
build/azure-pipelines/linux/verify-glibc-requirements.sh,1,1
build/azure-pipelines/oss/apply-overrides.ts,5,0
build/azure-pipelines/oss/audit-notices.ts,6,0
